id,sentiment
870430762255953920,-1
870430770141253632,-1
870430771592413187,-1
870430772800479233,-1
870430776432644096,1
870430779439841280,-1
870430780425723904,-1
870430781927288833,-1
870430784678703104,-1
870430796485726208,-1
870430797723033601,1
870430799950004224,-1
870430802575753216,-1
870430804446289921,-1
870430804895313920,1
870430807592140801,-1
870430807344779264,1
870430814433144832,0
870430815473332224,-1
870430819134734336,0
870430820791726080,0
870430822129582080,-1
870430829331316736,-1
870430838915293184,1
870430839343124481,1
870430840412569600,-1
870430843713540096,1
870430845147914240,-1
870430848838971394,1
870430849606402048,-1
870430849715630080,1
870430850583732224,-1
870430852605333504,0
870430853062688768,-1
870430853582790658,-1
870430859966398465,1
870430863493918720,-1
870430864324382720,0
870430867918692353,1
870430866941640704,-1
870430868598251520,-1
870430876970045440,-1
870430877435568128,1
870430879612420097,1
870430879553904640,-1
870430883349753857,-1
870430885849464833,-1
870430886101217281,-1
870430890056437760,-1
870430890404524032,-1
870430892992409601,-1
870430894703616000,-1
870430903775907841,1
870430905529016320,-1
870430907722858496,-1
870430908268064768,1
870430908872093696,1
870430914039259137,1
870430920268034048,1
870430920528023552,1
870430921014493185,1
870430923485048833,0
870430925301010434,-1
870430932938969088,1
870430934025109504,-1
870430935476346880,0
870430945752514560,0
870430946310275072,1
870430952459124736,-1
870430952031477760,1
870430952861913088,-1
870430954388508672,0
870430957727240192,1
870430966493270016,1
870430969903362049,1
870430971329355776,1
870430971505639424,-1
870430971677560836,-1
870430974722658305,1
870430975620259840,1
870430978174472192,0
870430980930023425,-1
870430982700236802,-1
870430985367805952,1
870430992653316098,-1
870431003109502976,1
870431008041992194,-1
870431008830705669,1
870431012467200000,-1
870431013222178816,-1
870431023716343809,-1
870431024748011520,0
870431026413162496,-1
870431028170678272,1
870431028195844098,-1
870431031609892864,1
870431036722692096,-1
870431036383088642,-1
870431037154840580,-1
870431037456879616,1
870431045069438976,1
870431046252191744,-1
870431046784999427,1
870431047447584768,1
870431051574779904,-1
870431052287836161,-1
870431053286125574,1
870431056276488192,1
870431056243175425,-1
870431057308336128,0
870431057887334402,-1
870431059627827200,-1
870431065113886720,-1
870431076719702016,-1
870431082151161857,1
870431082453372928,1
870431085599105029,0
870431086202896384,1
870431086823780353,1
870431087276810240,-1
870431089055092737,-1
870431096973938690,1
870431097015992320,-1
870431097229901824,1
870431098387484672,-1
870431101893853185,1
870431102107832321,1
870431104741679104,-1
870431106541260801,-1
870431107052965888,1
870431107258482689,1
870431106709032960,-1
870431105702383616,1
870431109569323010,-1
870431114292338689,1
870431124974993408,-1
870431125990240258,-1
